ID;usefulNameBase;uniqueName;surfaceName;属性;死亡ドロップアイテムID;強特攻耐性;特攻耐性;強元気耐性;元気耐性;強頑強耐性;頑強耐性;強特攻弱点;特攻弱点;強脱力弱点;脱力弱点;強軟弱弱点;軟弱弱点;$/クラス;出現階;経験値;MHP;攻撃力;防御力;デフォルト速度移動;デフォルト速度攻撃;$/メモ;特殊使用率;特殊消費SP;$/メモ;汎用定数一;$/メモ;汎用定数二;$/メモ;汎用定数三;$/メモ;汎用定数四
;;;;;-1|10;;;;;;;;;;;;;CLASS 1;18;160;75;30;12;0;0;;25;50;;7;;10;;0;;0
;;;;;1047|30;;;;;;;;;;;;;CLASS 2;33;550;130;54;16;0;0;;30;33;;10;;15;;0;;0
;;;;;3023|10;;;;;;;;;;;;;CLASS 3;50;1480;180;65;20;0;0;;30;20;;12;;15;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;92;3700;280;200;25;0;0;;35;10;;15;;20;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;102;4070;308;220;27;0;0;;35;10;;15;;20;;0;;0
2034;キスメ;キスメ;キスメ;妖怪;0|960;;;;;;;;;;;;;CLASS 0;4;11;14;9;4;0;0;ウサギ飛び攻撃;50;20;ウサギ飛び攻撃増加;4;;0;;0;;0
;;;;;-1|40;;;;;;;;;;;;;CLASS 1;10;35;43;19;8;0;0;;50;10;;10;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;25;150;82;32;12;0;0;;50;10;;20;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;58;930;145;85;15;0;0;;50;10;;40;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;85;1900;210;160;20;0;0;;50;0;;60;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;85;2090;232;176;22;0;0;;50;0;;66;;0;;0;;0
2035;オリン;オリン;オリン;獣;0|940;;;;;;;;;;水;;水;CLASS 0;7;18;29;13;4;0;0;桂馬飛び;0;10;桂馬飛びダメージ;0;死亡時罠生成ID;0;;0;;0
;;;;;-1|20;;;;;;;;;;;;;CLASS 1;14;40;43;22;7;0;0;;0;10;;0;;0;;0;;0
;;;;;1044|20;;;;;;;;;;;;;CLASS 2;35;120;86;39;10;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;58;420;110;57;13;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;86;1200;150;80;15;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;86;1320;165;88;17;0;0;;0;10;;0;;0;;0;;0
2036;ヤマメ;ヤマメ;ヤマメ;妖怪;0|960;;;;;;;;;;;;;CLASS 0;5;14;18;9;4;0;0;軟弱攻撃;30;20;軟弱強度;2;軟弱ターン;10;;0;;0
;;;;;-1|20;;;;;;;;;;;;;CLASS 1;11;42;49;18;8;0;0;;35;10;;3;;10;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;25;150;95;25;12;0;0;;35;10;;4;;10;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;58;1250;165;50;15;0;0;;40;10;;5;;10;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;86;2600;230;100;20;0;0;;50;10;;10;;10;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;96;2860;253;110;22;0;0;;50;10;;10;;10;;0;;0
2037;サトリ;サトリ;サトリ;妖怪;0|980;;;;;;;;;;;;;CLASS 0;7;27;42;18;8;0;0;仲間呼び;20;100;コイシ召喚フラグ;0;ウツホ召喚フラグ;1;オリン召喚フラグ;0;近接見切り力;30
;;;;;-1|10;;;;;;;;;;;;;CLASS 1;14;60;65;26;16;0;0;;20;100;;0;;1;;1;;35
;;;;;;;;;;;;;;;;;;CLASS 2;32;350;120;45;27;0;0;;30;100;;1;;1;;1;;40
;;;;;;;;;;;;;;;;;;CLASS 3;58;1400;185;85;35;0;0;;30;100;;1;;1;;1;;45
;;;;;;;;;;;;;;;;;;CLASS 4;86;3200;250;160;40;0;0;;40;100;;1;;1;;1;;50
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;86;3520;275;176;44;0;0;;40;100;;1;;1;;1;;50
2038;コイシ;コイシ;コイシ;妖怪;0|980;;;;;;;;;;;;;CLASS 0;7;32;37;10;8;0;0;敵を怒らせる;40;50;イカリターン;20;フラツキ確率％;50;;0;;0
;;;;;-1|10;;;;;;;;;;;;;CLASS 1;15;75;59;13;16;0;0;;50;35;;30;;50;;0;;0
;;;;;3028|10;;;;;;;;;;;;;CLASS 2;36;550;105;26;25;0;0;;50;30;;40;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;59;1750;170;45;32;0;0;;60;20;;50;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;86;3200;230;70;40;0;0;;70;10;;50;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;86;3520;253;77;44;0;0;;70;10;;50;;50;;0;;0
2039;ウツホ;ウツホ;ウツホ;;0|950;;火;;;;;;爆;;;;;CLASS 0;7;35;42;10;4;0;0;爆発攻撃;70;5;爆発威力(固定ダメ);10;死亡時プチフレア生成率;10;;0;;0
;;;;;-1|10;;;;;;;;;;;;;CLASS 1;20;180;80;15;7;0;0;;70;5;;20;;25;;0;;0
;;;;;1049|20;;;;;;;;;;;;;CLASS 2;32;600;110;19;10;0;0;;70;5;;30;;30;;0;;0
;;;;;3030|20;;;;;;;;;;;;;CLASS 3;58;1600;190;35;13;0;0;;70;5;;40;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;86;2700;280;60;15;0;0;;70;5;;80;;100;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;86;2970;308;66;17;0;0;;70;5;;85;;100;;0;;0
2040;ケイネ;ケイネ;ケイネ;人間;0|960;;;;;;;;;;;;;CLASS 0;6;24;32;12;10;0;0;くねくねドロドロ;25;50;Lvダウン値;1;装備品劣化;1;LVダウン能力選択率％;50;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;17;140;73;20;15;0;0;;25;40;;1;;1;;50;;0
;;;;;3024|10;;;;;;;;;;;;;CLASS 2;39;650;125;49;25;0;0;;25;33;;1;;2;;50;;0
;;;;;;;;;;;;;;;;;;CLASS 3;53;1550;195;65;30;0;0;;25;20;;1;;2;;50;;0
;;;;;;;;;;;;;;;;;;CLASS 4;80;3600;270;120;32;0;0;;25;10;;2;;3;;50;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;80;3960;297;132;35;0;0;;25;10;;2;;3;;50;;0
2041;アリス;アリス;アリス;魔法使い;0|970;;;;;;;;;;;;;CLASS 0;5;18;28;10;6;0;0;人形召喚;30;100;人形個数;1;;0;;0;;0
;;;;;-1|20;;;;;;;;;;;;;CLASS 1;11;52;64;18;12;0;0;;35;100;;2;;0;;0;;0
;;;;;3014|10;;;;;;;;;;;;;CLASS 2;23;125;95;35;18;0;0;;40;100;;2;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;42;700;165;50;25;0;0;;50;100;;3;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;75;2500;240;120;30;0;0;;50;100;;4;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;75;2750;264;132;33;0;0;;50;100;;4;;0;;0;;0
2042;オンリョウ;オンリョウ;オンリョウ;幽霊;0|970;;;;;;;;;;;;;CLASS 0;1;10;4;1;400;0;0;味方レベルアップ;100;0;Lvアップ;1;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;1;10;4;1;400;0;0;;100;0;;1;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;1;10;4;1;400;0;0;;100;0;;1;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;1;10;4;1;400;0;0;;100;0;;1;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;1;10;4;1;400;0;0;;100;0;;2;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;1;10;4;1;400;0;0;;100;0;;2;;0;;0;;0
2043;チェン;チェン;チェン;獣;0|960;;;;;;;;;;水;;水;CLASS 0;4;11;15;10;4;1;0;突撃;20;20;突撃ダメージ;5;突撃距離;2;;0;;0
;;;;;-1|20;;;;;;;;;;;;;CLASS 1;9;30;35;13;7;1;1;;20;20;;10;;4;;0;;0
;;;;;3026|20;;;;;;;;;;;;;CLASS 2;24;110;78;24;10;1;1;;20;20;;20;;6;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;41;350;125;35;14;1;1;;20;20;;30;;8;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;75;1700;190;65;18;2;2;;20;20;;50;;10;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;75;1870;209;71;20;2;2;;20;20;;50;;10;;0;;0
2044;ラン;ラン;ラン;獣;0|970;;;;;;;;;;水;;水;CLASS 0;6;26;35;15;4;0;0;橙召喚;30;100;;0;;0;;0;;0
;;;;;-1|20;;;;;;;;;;;;;CLASS 1;10;36;80;23;7;0;0;;40;100;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;25;150;100;35;10;0;0;;40;100;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;42;750;170;57;14;0;0;;50;100;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;75;3300;250;140;18;0;0;;50;100;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;75;3630;275;154;20;0;0;;50;100;;0;;0;;0;;0
2045;ユカリ;ユカリ;ユカリ;妖怪;0|940;;;;;;;;;;;;;CLASS 0;8;42;35;20;8;0;0;藍召喚;20;100;ふらつき確率％;50;;0;;0;;0
;;;;;-1|10;;;;;;;;;;;;;CLASS 1;14;135;75;32;16;0;0;;20;100;;50;;0;;0;;0
;;;;;1036|20;;;;;;;;;;;;;CLASS 2;34;630;125;70;25;0;0;;30;100;;50;;0;;0;;0
;;;;;1051|25;;;;;;;;;;;;;CLASS 3;66;2600;210;230;32;0;0;;30;100;;50;;0;;0;;0
;;;;;3025|5;;;;;;;;;;;;;CLASS 4;95;7800;300;400;40;0;0;;30;100;;50;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;95;8580;330;440;44;0;0;;30;100;;50;;0;;0;;0
2046;エイリン;エイリン;エイリン;;0|960;;;;;;;;;;;;;CLASS 0;8;27;45;14;4;0;0;味方を回復;40;50;回復量(値);20;自然回復(ターン毎);3;投擲確率％;10;投擲アイテムID;5002
;;;;;-1|20;;;;;;;;;;;;;CLASS 1;15;90;70;21;12;0;0;;40;40;;40;;5;;10;;5002
;;;;;3010|20;;;;;;;;;;;;;CLASS 2;32;400;130;29;15;0;0;;50;30;;60;;8;;10;;5002
;;;;;;;;;;;;;;;;;;CLASS 3;46;780;180;43;19;0;0;;50;20;;100;;12;;10;;5002
;;;;;;;;;;;;;;;;;;CLASS 4;78;2400;220;80;25;0;0;;75;10;;200;;20;;10;;5002
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;78;2640;242;88;27;0;0;;75;10;;200;;22;;10;;5002
2047;カグヤ;カグヤ;カグヤ;;0|960;;;;;;;;;;;;;CLASS 0;8;32;45;17;4;0;0;えーりん召喚;40;100;;0;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;15;100;65;24;12;0;0;;40;50;;0;;0;;0;;0
;;;;;3022|10;;;;;;;;;;;;;CLASS 2;32;550;115;50;18;0;0;;40;30;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;46;970;140;62;23;0;0;;45;30;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;78;2500;240;140;28;0;0;;50;25;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;78;2750;264;154;31;0;0;;50;25;;0;;0;;0;;0
2048;テイ;テイ;テイ;獣;0|920;;;;;;;;;;;;;CLASS 0;4;14;18;10;4;0;0;足元に罠作成;5;50;;0;生成罠ID１;9009;生成罠ID２;9013;生成罠１生成率％;75
;;;;;-1|10;;;;;;;;;;;;;CLASS 1;15;45;55;17;7;0;0;;5;40;;0;;9013;;9002;;75
;;;;;1014|50;;;;;;;;;;;;;CLASS 2;30;170;90;29;10;0;0;;5;20;;0;;9002;;9016;;75
;;;;;3002|20;;;;;;;;;;;;;CLASS 3;46;450;120;38;14;1;0;;5;10;;0;;9016;;9020;;75
;;;;;;;;;;;;;;;;;;CLASS 4;78;1200;170;80;18;1;0;;5;5;;0;;9020;;9021;;75
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;78;1320;187;88;20;1;0;;5;5;;0;;9020;;9021;;75
2049;モコウ;モコウ;モコウ;人間;0|960;;火;;;;;;;;;;;CLASS 0;8;30;45;17;0;0;0;復活;8;100;自然回復(ターン毎);3;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;15;110;70;27;1;0;0;;10;50;;5;;0;;0;;0
;;;;;3054|10;;;;;;;;;;;;;CLASS 2;32;390;135;43;1;0;0;;12;50;;7;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;46;970;185;50;1;0;0;;15;50;;10;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;78;3300;290;190;1;0;0;;20;20;;15;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;78;3630;329;209;1;0;0;;20;20;;15;;0;;0;;0
2050;リグル;リグル;リグル;妖怪;0|960;;;;;;;;冷;;冷;;冷;CLASS 0;3;8;13;9;4;0;0;仲間呼び;15;50;隣接時仲間起こし確率;30;;0;;0;;0
;;;;;-1|20;;;;;;;;火;;;;;CLASS 1;9;20;42;17;7;0;0;;20;50;;35;;0;;0;;0
;;;;;3001|20;;;;;;;;;;;;;CLASS 2;23;64;76;30;8;0;0;;25;33;;50;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;36;180;110;40;10;0;0;;30;20;;75;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;70;1200;170;90;12;0;0;;30;10;;100;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;70;1320;187;99;13;0;0;;30;10;;100;;0;;0;;0
2051;ミスティア;ミスティア;ミスティア;妖怪;0|960;;;;;;;;火;;;;;CLASS 0;3;9;14;9;4;0;0;鳥目攻撃;40;100;鳥目ターン;5;;0;;0;;0
;;;;;-1|20;;;;;;;;;;;;;CLASS 1;9;21;43;20;7;0;0;;45;50;;7;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;23;68;80;34;8;0;0;;50;40;;10;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;36;220;120;42;10;0;0;;60;20;;10;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;70;1600;180;100;12;0;0;;75;10;;20;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;70;1760;198;110;13;0;0;;75;10;;20;;0;;0;;0
2052;メルラン;メルラン;メルラン;幽霊;0|970;;;;;;;;;;;;;CLASS 0;5;12;22;9;4;0;0;狂乱攻撃;25;50;狂乱ターン;5;鬱直し;50;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;14;26;41;16;7;0;0;;25;50;;5;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;25;62;67;26;8;0;0;;25;50;;5;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;42;250;112;43;10;0;0;;25;50;;5;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;75;700;164;70;12;0;0;;25;50;;5;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;85;770;180;77;13;0;0;;25;50;;5;;50;;0;;0
2053;リリカ;リリカ;リリカ;幽霊;0|970;;;;;;;;;;;;;CLASS 0;5;14;22;9;4;0;0;鬱直し;25;50;;0;狂乱直し;50;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;14;28;41;16;7;0;0;;25;50;;0;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;25;64;67;26;8;0;0;;25;50;;0;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;42;270;112;43;10;0;0;;25;50;;0;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;75;800;164;70;12;0;0;;25;50;;0;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;75;880;180;77;13;0;0;;25;50;;0;;50;;0;;0
2054;ルナサ;ルナサ;ルナサ;幽霊;0|970;;;;;;;;;;;;;CLASS 0;5;12;22;9;4;0;0;鬱攻撃;25;50;鬱ターン;5;狂乱直し;50;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;14;26;41;16;7;0;0;;25;50;;5;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;25;62;67;26;8;0;0;;25;50;;5;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;42;250;112;43;10;0;0;;25;50;;5;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;75;700;164;70;12;0;0;;25;50;;5;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;75;770;180;77;13;0;0;;25;50;;5;;50;;0;;0
2055;メディスン;メディスン;メディスン;;0|970;毒;;毒;;;;;;;;;;CLASS 0;6;16;27;11;4;0;0;脱力攻撃;25;50;脱力強度;1;脱力ターン;10;欝ターン;2;;0
;;;;;-1|20;;;;;;;;;;;;;CLASS 1;12;54;52;17;7;0;0;;25;40;;2;;10;;3;;0
;;;;;3053|10;;;;;;;;;;;;;CLASS 2;35;175;94;36;8;0;0;;30;35;;3;;10;;4;;0
;;;;;;;;;;;;;;;;;;CLASS 3;51;890;132;48;10;0;0;;30;20;;4;;15;;5;;0
;;;;;;;;;;;;;;;;;;CLASS 4;80;2400;182;82;12;0;0;;40;10;;5;;20;;5;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;80;2640;200;90;13;0;0;;40;10;;5;;20;;5;;0
2056;ユウカ;ユウカ;ユウカ;妖怪;0|960;;;;;;;;;;;;;CLASS 0;9;37;52;20;4;0;0;必殺の一撃;25;0;必殺の一撃ダメージUP％;50;味方殺し時元気UP;1;元気UPターン;3000;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;21;220;85;32;12;0;0;;25;0;;50;;1;;3000;;0
;;;;;1035|0;;;;;;;;;;;;;CLASS 2;36;560;120;68;18;0;0;;25;0;;50;;2;;3000;;0
;;;;;3044|10;;;;;;;;;;;;;CLASS 3;70;2400;198;150;23;0;0;;25;0;;50;;3;;3000;;0
;;;;;;;;;;;;;;;;;;CLASS 4;80;3600;260;180;30;0;0;;25;0;;50;;4;;3000;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;80;3960;286;198;33;0;0;;25;0;;50;;4;;3000;;0
2057;コマチ;コマチ;コマチ;神;0|940;;;;;;;;;;;;;CLASS 0;9;26;49;13;4;0;0;引き寄せ割合攻撃;30;50;引き寄せ距離;10;現在HPから割合ダメ％;15;;0;;0
;;;;;-1|10;;;;;;;;;;;;;CLASS 1;21;125;68;22;12;0;0;;30;40;;10;;20;;0;;0
;;;;;1002|20;;;;;;;;;;;;;CLASS 2;30;260;105;36;18;0;0;;40;25;;15;;25;;0;;0
;;;;;1008|20;;;;;;;;;;;;;CLASS 3;50;1500;165;50;23;0;0;;40;20;;20;;30;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;81;3700;240;91;30;0;0;;50;10;;40;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;81;4070;264;100;33;0;0;;50;10;;40;;50;;0;;0
2058;ナズーリン;ナズーリン;ナズーリン;獣;0|100;;;;;;;;;;;;;CLASS 0;5;10;17;10;4;0;0;死亡時ドロップ;0;0;お金ID;8012;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 1;11;30;48;18;7;0;0;;0;0;;8013;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;25;120;100;32;8;0;0;;0;0;;8014;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;58;650;140;53;10;0;0;;0;0;;8015;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;86;1200;230;80;12;0;0;;0;0;;8016;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;86;1320;253;88;13;0;0;;0;0;;8017;;0;;0;;0
2059;コガサ;コガサ;コガサ;妖怪;0|950;;水;;;;;;雷;;;;;CLASS 0;6;27;32;14;4;0;0;ンドゥバ;35;40;濡れダメージ;5;水属性耐性;50;;0;;0
;;;;;-1|20;;;;;;;;;;;;;CLASS 1;16;75;72;24;12;0;0;;35;40;;10;;50;;0;;0
;;;;;1004|20;;;;;;;;;;;;;CLASS 2;25;230;110;38;18;0;0;;35;30;;15;;50;;0;;0
;;;;;3036|10;;;;;;;;;;;;;CLASS 3;62;1450;195;70;23;0;0;;35;20;;20;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;89;2600;244;160;30;0;0;;35;10;;25;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;89;2860;270;176;33;0;0;;35;10;;30;;50;;0;;0
2060;イチリン;イチリン;イチリン;妖怪;0|960;;;;;;;;;;;;;CLASS 0;6;30;35;17;4;0;0;3マス先攻撃;80;0;攻撃距離;3;分離確率;20;合体回復量;20;汎用定数メモ4;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;16;85;82;27;12;0;0;;80;0;;3;;20;;30;;0
;;;;;;;;;;;;;;;;;;CLASS 2;25;290;120;33;18;0;0;;80;0;;3;;20;;40;;0
;;;;;;;;;;;;;;;;;;CLASS 3;62;1600;231;75;23;0;0;;80;0;;3;;20;;50;;0
;;;;;;;;;;;;;;;;;;CLASS 4;89;2800;273;180;30;0;0;;80;0;;3;;20;;60;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;89;3080;300;198;33;0;0;;80;0;;3;;20;;60;;0
2061;イチリンノミ;イチリンノミ;イチリンノミ;妖怪;0|970;;;;;;;;;;;;;CLASS 0;6;20;20;10;5;0;0;ナシ;0;0;;0;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;16;50;50;23;6;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;25;230;80;32;7;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;62;1300;130;70;8;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;89;2200;150;150;9;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;89;2420;165;165;9;0;0;;0;0;;0;;0;;0;;0
2062;ウンザン;ウンザン;ウンザン;;0|970;;;;;;;;;;;;;CLASS 0;6;10;10;6;5;0;0;合体;20;100;;0;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;16;25;25;15;6;0;0;;30;100;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;25;60;40;24;7;0;0;;40;100;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;62;300;62;55;8;0;0;;50;100;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;89;600;91;120;9;0;0;;50;100;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;89;660;100;132;9;0;0;;50;100;;0;;0;;0;;0
2063;ムラサ;ムラサ;ムラサ;妖怪;0|950;;水;;;;;;雷;;;;;CLASS 0;6;32;32;17;8;0;0;;0;10;;0;水属性耐性;50;;0;;0
;;;;;-1|10;;;;;;;;;;;;;CLASS 1;16;96;73;34;16;0;0;;0;10;;0;;50;;0;;0
;;;;;1046|15;;;;;;;;;;;;;CLASS 2;25;325;105;48;24;0;0;;0;10;;0;;50;;0;;0
;;;;;1059|15;;;;;;;;;;;;;CLASS 3;62;1600;178;85;32;0;0;;0;10;;0;;50;;0;;0
;;;;;3043|10;;;;;;;;;;;;;CLASS 4;89;2300;240;150;40;0;0;;0;10;;0;;50;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;89;2530;264;165;44;0;0;;0;10;;0;;50;;0;;0
2064;トラマル;トラマル;トラマル;妖怪;0|960;;;;;;;;;;;;;CLASS 0;10;36;48;18;7;0;0;仲間呼び;20;100;一輪召喚フラグ;0;ナズ召喚フラグ;1;ムラサ召喚フラグ;0;;0
;;;;;-1|10;;;;;;;;;;;;;CLASS 1;21;155;88;30;12;0;0;;20;100;;0;;0;;1;;0
;;;;;1045|20;;;;;;;;;;;;;CLASS 2;30;260;130;40;16;0;0;;30;100;;1;;0;;0;;0
;;;;;3038|10;;;;;;;;;;;;;CLASS 3;62;1800;245;80;25;0;0;;30;100;;0;;1;;1;;0
;;;;;;;;;;;;;;;;;;CLASS 4;89;3400;310;190;32;0;0;;40;100;;1;;1;;1;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;89;3740;341;209;35;0;0;;40;100;;1;;1;;1;;0
2065;ヒジリ;ヒジリ;ヒジリ;人間;0|950;;;;;;;;;;;;;CLASS 0;10;60;50;19;12;0;0;元気頑丈;60;100;元気頑丈強度;5;元気頑丈ターン;3;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;22;230;83;39;20;0;0;;60;100;;5;;5;;0;;0
;;;;;1048|10;;;;;;;;;;;;;CLASS 2;30;700;122;45;24;0;0;;60;100;;8;;8;;0;;0
;;;;;3055|10;;;;;;;;;;;;;CLASS 3;62;3000;230;90;37;0;0;;60;100;;8;;10;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;89;6700;273;180;50;0;0;;60;100;;10;;10;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;89;7370;300;198;55;0;0;;60;100;;10;;10;;0;;0
2066;ヌエ;ヌエ;ヌエ;妖怪;0|960;;;;;;;;;;;;;CLASS 0;5;22;28;17;4;0;0;変身;100;100;;0;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;14;35;65;30;6;0;0;;100;100;;0;;0;;0;;0
;;;;;3040|10;;;;;;;;;;;;;CLASS 2;31;180;95;43;7;0;0;;100;100;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;62;900;150;100;8;0;0;;100;100;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;89;1900;246;230;9;0;0;;100;100;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;89;2090;270;253;10;0;0;;100;100;;0;;0;;0;;0
2067;カナコ;カナコ;カナコ;神;0|950;;;;;;;;;;冷;;冷;CLASS 0;8;27;35;16;5;0;0;特殊メモ;30;20;弾ダメージ;10;射程;2;吹き飛ばし距離;2;汎用定数メモ4;0
;;;;;-1|42;;;;;;;;;;;;;CLASS 1;28;230;80;32;6;0;0;;30;10;;20;;2;;2;;0
;;;;;3009|8;;;;;;;;;;;;;CLASS 2;45;700;120;65;7;0;0;;30;10;;30;;2;;2;;0
;;;;;;;;;;;;;;;;;;CLASS 3;68;2300;165;90;8;0;0;;30;10;;40;;2;;2;;0
;;;;;;;;;;;;;;;;;;CLASS 4;85;4500;210;170;9;0;0;;30;10;;50;;2;;2;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;85;4950;220;187;9;0;0;;30;10;;50;;2;;2;;0
